CASEID,YEAR,STATE,DETOX,TREATMT,OWNERSHP,FEDOWN,SRVC71,SRVC108,SRVC85,SRVC87,SRVC86,OTP,OTPALL,OTPTYPE,COMPSAT,DUI_DWI,ONLYDUI,SIGNLANG,LANG,LANG16,LANG1,LANG2,LANG3,LANG21,LANG4,LANG5,LANG6,LANG7,LANG8,LANG9,LANG10,LANG22,LANG11,LANG19,LANG23,LANG12,LANG13,LANG14,LANG15,LANG20,LANG17,LANG18,SRVC33,SRVC63,SRVC62,SRVC113,SRVC114,SRVC115,SRVC61,SRVC31,SRVC32,SRVC116,CTYPE4,CTYPEHI1,CTYPEHI2,CTYPE7,CTYPERC1,CTYPERC3,CTYPERC4,SRVC75,CTYPE1,CTYPE6,CTYPEML,CTYPEOP,CTYPE2,CTYPE3,FEESCALE,PAYASST,REVCHK3,REVCHK1,REVCHK8,REVCHK5,REVCHK10,REVCHK15,REVCHK2,REVCHK17,LOC5
19,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,1,0,1,1,0,0,,,,,,0,0,0,0,1,1,1,1,1,0,0
20,2014,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,1,D,1,1,0
21,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,D,1
22,2014,AK,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0
23,2014,AK,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,1,0,1,0,0,0,D,1,D,0
24,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0
25,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0
26,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0
27,2014,AK,0,1,2,,1,1,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,1,0,,,,,,1,1,0,1,1,1,1,1,1,1,0
28,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
29,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0
30,2014,AK,0,1,5,,0,0,0,0,0,0,,,3,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
31,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
32,2014,AK,0,1,2,,1,1,0,0,0,0,,,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,D,1,1,0
33,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,0,,,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1
34,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,D,0
35,2014,AK,0,1,1,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,D,0
36,2014,AK,1,1,1,,1,1,0,1,1,0,0,3,1,0,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
37,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0
38,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0
39,2014,AK,0,1,1,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,D,0,1,0,0
40,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
41,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1
42,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,1,1,1,1,1,0,1
43,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
44,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0
45,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,,,,,,1,1,0,1,D,1,1,D,1,D,0
46,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
47,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,1,1,D,D,1,D,0
48,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,D,0
49,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0
50,2014,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,,,,,,1,1,0,0,1,1,1,1,1,1,0
51,2014,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
52,2014,AK,0,1,5,,0,0,0,0,0,0,,,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
53,2014,AK,0,1,6,2,1,1,0,0,1,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,1,D,0,0,0,0,0,0,0,0
54,2014,AK,0,1,1,,0,0,0,0,0,0,,,2,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
55,2014,AK,0,1,2,,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
56,2014,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,M,1,0,D,0,1,1,1,1,1,0
57,2014,AK,0,1,6,2,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
58,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,D,0
59,2014,AK,0,1,5,,1,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,D,0
60,2014,AK,0,1,1,,0,0,0,0,0,0,,,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
61,2014,AK,1,1,2,,0,0,0,1,1,0,,,4,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
62,2014,AK,0,1,1,,0,0,0,0,0,0,,,M,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
63,2014,AK,0,1,4,,0,0,0,0,0,0,,,4,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
64,2014,AK,1,1,1,,1,1,0,1,0,0,0,3,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,0,1,0,,,0,,,,,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0
65,2014,AK,0,1,2,,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
66,2014,AK,0,1,6,1,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,0,1,0,,,0,,,,,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
67,2014,AK,0,1,1,,0,0,0,0,0,0,,,5,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,0,1,0,,,0,,,,,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,D,0
68,2014,AK,1,1,6,2,1,1,0,0,0,0,,,5,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,,,0,,,,,1,1,0,0,1,1,0,0,0,D,D,D,D,1,D,D,0
69,2014,AK,0,1,1,,1,1,0,1,0,0,0,3,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,1,1,0,1,0,,,0,,,,,1,0,1,0,1,1,0,0,0,1,0,D,0,1,1,D,0
70,2014,AK,0,1,2,,1,0,0,1,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
71,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,1,0,1,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1
72,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,1,1,1,0,,,1,0,0,1,1,0,,,,,,1,0,0,1,1,1,1,1,1,0,0
73,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,,,1,0,0,1,1,0,,,,,,0,1,0,1,1,1,1,1,1,1,0
74,2014,AK,1,1,6,1,1,1,0,1,1,0,0,1,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,1,1,0,0,0,,,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0
75,2014,AK,0,1,2,,0,0,0,0,0,0,,,2,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
76,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0
77,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
78,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0
79,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
80,2014,AK,0,1,2,,0,0,0,0,0,0,,,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,0,1,0,1,D,0,0,0,0,0,0,D,0
81,2014,AK,0,1,2,,0,0,0,0,0,0,,,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0
82,2014,AK,1,1,2,,0,0,1,0,0,1,1,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,1,0,,,0,,,,,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,D,0
83,2014,AK,1,1,4,,1,1,0,1,0,0,0,2,3,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0
84,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
85,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0
86,2014,AK,0,1,5,,0,0,0,0,0,0,,,1,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0
87,2014,AK,0,1,4,,0,0,0,0,0,0,,,4,0,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
88,2014,AK,1,1,2,,0,0,0,0,0,0,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,1,1,0,1,0,0,,,,,,1,0,0,1,0,0,0,D,1,D,1
89,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,0,1,1,D,1,D,0
90,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,1,0,,,0,,,,,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,D,1
91,2014,AK,0,1,2,,0,0,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,0,,,1,0,0,1,0,0,,,,,,1,0,0,1,0,0,0,1,1,D,0
92,2014,AL,0,1,2,,0,0,0,0,0,0,,,M,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,D,0
93,2014,AL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,,,0,,,,,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0
94,2014,AL,1,1,2,,1,1,0,1,1,0,0,3,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,,,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
95,2014,AL,0,1,2,,0,0,0,0,0,0,,,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0
96,2014,AL,1,1,1,,1,1,0,1,0,0,0,3,1,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,,,,,,0,0,0,1,1,1,1,1,1,D,0
97,2014,AL,1,1,3,,0,0,0,0,0,0,,,4,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,0,,,,,,1,0,0,1,1,1,1,0,1,0,0
98,2014,AL,0,1,2,,0,0,0,0,0,0,,,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,0,,,0,,,,,1,0,0,0,1,1,1,0,0,1,D,1,D,D,D,D,0
99,2014,AL,0,1,1,,0,0,1,0,0,1,1,1,1,0,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,2014,AL,1,1,1,,0,0,1,0,0,1,1,3,4,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,,0,,,,,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
101,2014,AL,1,1,1,,1,1,0,0,0,0,,,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,0,0,0,,,,,,0,0,0,1,0,0,1,1,1,D,0
